preset,phase,seeds,queries,recall_at_k,recall_seed_sd,precision_at_k,context_efficiency,context_efficiency_seed_sd,redundancy,pollution,pollution_c,pollution_m,pollution_m_seed_sd,mean_c,mean_m,max_m,max_m_seed_sd,mean_tension_depth,scissors_gap,n_promote,n_demote,n_merge,n_evict,n_archive,n_revive,n_tension,n_resolve
abl_selected_credit,conflict,10,1569,0.9018483110261313,0.027349158953445397,0.43100822418519646,0.43100822418519646,0.058763486476658515,0.0006091989034420209,0.6310972744120038,0.6590003244515775,0.21404017857142857,0.08578475074070144,111.08625,7.98375,8,0.0,1.3225,0.73627591470651,2069,0,14,2068,2340,24,58,46
abl_no_capacity,all,10,4310,0.8935034802784223,0.01334864178198301,0.7005639439694379,0.7005639439694379,0.04363722687114239,0.0001819174094961351,0.341508788342285,0.35389264706668355,0.05486269495703458,0.013043896793220593,66.50545454545454,6.985909090909091,15,1.2516655570345725,1.2822727272727272,0.45013716771441664,188,63,73,0,2469,45,147,132
abl_no_capacity,stable,10,1179,0.7896522476675149,0.041079063167137136,0.9597938144329897,0.9597938144329897,0.047753090871789666,0.0,0.0,0.0,0.0,0.0,11.688333333333333,2.6033333333333335,8,1.636391694484477,0.0,nan,57,0,0,0,1,0,0,0
abl_no_capacity,drift,10,722,0.9265927977839336,0.042464227595811095,0.8967828418230563,0.8967828418230563,0.07116531937007692,0.0,0.08220315386262182,0.003969501903325432,0.2835029761904762,0.06901640482476888,15.4375,6.09,9,1.429840705968481,3.89,-1.06954142462626,36,4,50,0,16,9,83,63
abl_no_capacity,noise,10,840,0.9892857142857143,0.017014530998172805,0.7426273458445041,0.7426273458445041,0.08690627524107411,0.0,0.8004752784679308,0.8582022465930819,0.0,0.0,131.015,7.6825,11,1.449137674618944,0.595,0.8408513362660145,34,3,10,0,22,13,8,24
abl_no_capacity,conflict,10,1569,0.9050350541746335,0.028511922617115226,0.5334335086401202,0.5334335086401202,0.059832483838004366,0.00037565740045075735,0.4973830657905796,0.5416765393763429,0.0,0.0,100.8975,10.3725,15,1.2516655570345725,1.28375,0.9673103442911478,61,56,13,0,2430,23,56,45
abl_no_tension,all,10,4310,0.8334106728538283,0.023405452025727143,0.7252170401776701,0.7252170401776701,0.0473183666174082,0.0,0.347209978277711,0.3455752047258205,0.10314638191996682,0.02889650781220178,68.55136363636363,6.149545454545454,8,0.0,0.0,0.3170842956801315,251,31,0,153,2541,47,0,0
abl_no_tension,stable,10,1179,0.7896522476675149,0.041079063167137136,0.9597938144329897,0.9597938144329897,0.047753090871789666,0.0,0.0,0.0,0.0,0.0,11.688333333333333,2.6033333333333335,8,1.636391694484477,0.0,nan,57,0,0,0,1,0,0,0
abl_no_tension,drift,10,722,0.8947368421052632,0.052124864168846194,0.8659517426273459,0.8659517426273459,0.06204468637205231,0.0,0.13035541665049574,0.016858919274011314,0.41803869047619047,0.09750798872125929,16.44,6.8125,8,0.97182531580755,0.0,-0.8345553986403208,30,5,0,9,16,9,0,0
abl_no_tension,noise,10,840,0.9678571428571429,0.026647843032880696,0.7265415549597856,0.7265415549597856,0.07692107355896827,0.0,0.7874992146632239,0.8282940456109448,0.11497023809523808,0.05762058147090412,135.0875,7.5775,8,0.0,0.0,0.7042424685268612,63,10,0,48,74,13,0,0
